Unnamed: 0,Gene,scores,log2FC,p_value,q_value
305,Spint2,4.195211,0.16559339,2.849237456759925e-05,0.0009254955098824
306,Zfp982,4.1749644,0.58429056,3.1402640939352965e-05,0.0010084242079521
307,Rpl7,4.1687946,0.10954988,3.195785869246698e-05,0.0010241355892437
308,Fam109b,4.1604843,0.5203291,3.345683863075655e-05,0.0010655745743598
309,H3f3aos,4.1563272,0.8772949,3.442689848256834e-05,0.001093106828813
310,N4bp3,4.149136,0.5896642,3.523927685055191e-05,0.0011154793721102
311,Lcp2,4.1486216,0.24932824,3.4999374214922e-05,0.0011101486899856
312,Bcl9l,4.1456413,0.32415307,3.561290020858154e-05,0.0011261582384695
313,Dapp1,4.142612,0.16100399,3.580793071265116e-05,0.0011311736240284
314,Klk8,4.1401196,0.28402388,3.6293083284742566e-05,0.0011453145326686
315,Gm20467,4.1325345,0.41066208,3.7603125830443727e-05,0.0011782945170663
316,Rpl9-ps6,4.131648,0.12104551,3.767156895493343e-05,0.0011792492245539
317,Eif3f,4.1298456,0.12992726,3.782563084135521e-05,0.0011828794708122
318,Ocrl,4.12867,0.25432822,3.81491492094985e-05,0.001191796308252
319,Srebf2,4.126148,0.19317082,3.857935041599236e-05,0.0012016069656832
320,Myof,4.1232185,0.51073897,3.924266609430657e-05,0.0012149576373145
321,Nynrin,4.120109,0.46218014,3.984536193140248e-05,0.0012287170050206
322,Ext2,4.116818,0.27810526,4.0169748607169006e-05,0.0012362648201173
323,Lzts2,4.116432,0.3396814,4.027350823698221e-05,0.0012382309418643
324,Eef2k,4.1149054,0.19980687,4.036301877395574e-05,0.0012397555113626
325,Eif2s3x,4.10933,0.29911754,4.146019293097577e-05,0.0012684368188035
326,Dnmbp,4.1072483,0.37206405,4.2054362874444605e-05,0.0012840846905999
327,Arl15,4.1016755,0.34206012,4.303139324805631e-05,0.0013100527985606
328,Cdk17,4.098775,0.22596587,4.3423229934895154e-05,0.0013206871294498
329,Nav2,4.0983872,0.4875276,4.370468079854231e-05,0.0013266485364976
330,Arhgap32,4.0919666,0.25925252,4.465553214324045e-05,0.0013515479918557
331,Rnf122,4.091894,0.36339855,4.478951954576653e-05,0.001354283301319
332,Ppp1r9a,4.088124,0.28566423,4.539775929197221e-05,0.0013713391238264
